TargetID	ProbeID	5445316054_A.AVG_Signal	5445316054_A.Detection Pval	5445316054_B.AVG_Signal	5445316054_B.Detection Pval	5445316054_C.AVG_Signal	5445316054_C.Detection Pval	5445316054_D.AVG_Signal	5445316054_D.Detection Pval	5445316054_E.AVG_Signal	5445316054_E.Detection Pval	5445316054_F.AVG_Signal	5445316054_F.Detection Pval	5445316054_G.AVG_Signal	5445316054_G.Detection Pval	5445316054_H.AVG_Signal	5445316054_H.Detection Pval	5445316054_I.AVG_Signal	5445316054_I.Detection Pval	5445316054_J.AVG_Signal	5445316054_J.Detection Pval	5445316054_K.AVG_Signal	5445316054_K.Detection Pval	5445316054_L.AVG_Signal	5445316054_L.Detection Pval	5491021084_A.AVG_Signal	5491021084_A.Detection Pval	5491021084_B.AVG_Signal	5491021084_B.Detection Pval	5491021084_C.AVG_Signal	5491021084_C.Detection Pval	5491021084_D.AVG_Signal	5491021084_D.Detection Pval	5491021084_E.AVG_Signal	5491021084_E.Detection Pval	5491021084_F.AVG_Signal	5491021084_F.Detection Pval	5491021084_G.AVG_Signal	5491021084_G.Detection Pval	5491021084_H.AVG_Signal	5491021084_H.Detection Pval	5491021084_I.AVG_Signal	5491021084_I.Detection Pval	5491021084_J.AVG_Signal	5491021084_J.Detection Pval	5491021084_K.AVG_Signal	5491021084_K.Detection Pval	5491021084_L.AVG_Signal	5491021084_L.Detection Pval
NEGATIVE	3400504	137.8335	0.8	112.2213	0.9766234	124.2655	0.8896104	140.4977	0.8116883	157.7149	0.5987013	125.222	0.8779221	145.5209	0.7038961	134.7088	0.8155844	125.0285	0.9493507	152.9792	0.6688312	132.1363	0.7766234	120.3591	0.9623377	102.4461	0.9610389	104.9304	0.874026	110.1804	0.8883117	121.1523	0.7831169	113.1353	0.7714286	112.7455	0.8428571	106.3619	0.8805195	93.32533	0.9896104	124.7562	0.787013	114.1001	0.8142857	90.39143	1	101.5164	0.9532468
NEGATIVE	3420138	125.0833	0.9103896	118.7158	0.9337662	126.3182	0.8714285	132.3972	0.887013	125.4167	0.9675325	118.4939	0.9480519	128.9641	0.887013	121.8948	0.938961	139.9047	0.8090909	138.319	0.8428571	114.4525	0.9597403	124.3314	0.938961	102.5349	0.9597403	98.14475	0.9467533	102.0972	0.9623377	105.7562	0.9233766	99.79313	0.9246753	110.2268	0.8714285	97.68859	0.9610389	93.95835	0.987013	117.1934	0.8558441	101.0364	0.9558442	123.2708	0.8168831	99.11773	0.9766234
NEGATIVE	3420538	136.8036	0.8103896	129.2263	0.8246753	147.4219	0.5649351	127.2768	0.9298701	131.4643	0.9402598	145.7885	0.5675325	129.8755	0.8779221	140.2162	0.7532467	143.4083	0.7571428	155.3788	0.6168831	128.7216	0.8168831	140.9615	0.7376623	118.3786	0.8181818	110.2708	0.8064935	122.5088	0.7597402	119.788	0.7948052	107.859	0.8350649	116.303	0.7948052	117.4964	0.7714286	121.7613	0.7571428	109.4642	0.9376624	123.8326	0.7090909	134.7898	0.687013	98.18253	0.9844156
NEGATIVE	3440161	162.39	0.4090909	183.9616	0.07662338	170.0885	0.1493506	174.2345	0.2688312	173.8559	0.3025974	161.1799	0.2844156	178.1573	0.151948	171.7984	0.2090909	225.062	0.01168831	174.0464	0.2714286	167.5782	0.1337662	165.0358	0.3220779	151.5096	0.4324675	117.8143	0.7233766	131.7807	0.6857143	141.9204	0.5428572	131.1528	0.4922078	120.739	0.7532467	147.8889	0.3220779	116.0982	0.8233766	156.7189	0.3285714	119.8736	0.7493507	162.9176	0.2688312	141.506	0.3779221
NEGATIVE	3450554	189.7705	0.09220779	146.1625	0.5883117	162.0558	0.2935065	169.2841	0.3480519	164.5819	0.4584416	131.3935	0.7987013	141.2017	0.7597402	146.0235	0.6571429	153.1272	0.6194805	160.0321	0.5350649	142.8405	0.5935065	159.2165	0.4155844	151.0637	0.4363636	145.133	0.2935065	148.9949	0.4571429	151.0208	0.3961039	110.6901	0.8051948	143.6817	0.4467532	121.5898	0.7311688	131.7068	0.6103896	159.9884	0.2779221	126.242	0.6779221	126.3384	0.7961039	137.7643	0.4324675
NEGATIVE	3460397	161.3069	0.4285714	144.7719	0.6051948	170.9143	0.1441558	165.5324	0.4285714	187.4069	0.1337662	147.2108	0.5376623	164.2818	0.3584416	179.6697	0.1155844	163.3608	0.4181818	175.0694	0.2532468	144.5275	0.5597402	161.119	0.3805195	163.5297	0.2623377	133.0291	0.5064935	152.2569	0.3922078	137.0669	0.6155844	144.3164	0.2701299	150.7329	0.3324675	153.8332	0.2428571	151.3739	0.2766234	157.034	0.3246753	150.0814	0.312987	157.8725	0.3558442	136.2009	0.4649351
NEGATIVE	3460561	121.1383	0.9337662	117.0007	0.9467533	127.4975	0.8558441	118.8358	0.9831169	170.5685	0.3597403	126.3344	0.864935	119.3184	0.9597403	123.3385	0.925974	141.8742	0.7831169	131.1581	0.9233766	132.8312	0.7662337	149.6947	0.6168831	128.6689	0.7272727	98.34756	0.9441559	110.0586	0.8909091	92.37315	0.9974026	104.0886	0.8831169	98.04751	0.9727273	90.84653	0.9896104	101.1651	0.9506493	102.109	0.987013	114.1199	0.812987	113.0512	0.9142857	111.1224	0.825974
NEGATIVE	3520064	140.1034	0.7675325	124.1259	0.8922078	121.9331	0.9090909	145.6651	0.7597402	139.0961	0.8597403	127.5012	0.8558441	133.0867	0.8389611	136.3856	0.8	140.1346	0.8025974	131.7175	0.9168831	122.962	0.8857143	129.4444	0.8987013	114.1137	0.8701299	115.263	0.7532467	119.2082	0.8012987	113.0762	0.8584415	122.1499	0.638961	118.6494	0.7727273	107.2703	0.8727273	111.5327	0.8701299	125.1408	0.7844156	109.949	0.8675325	112.8794	0.9207792	106.6882	0.8922078
NEGATIVE	3520403	181.8815	0.1467533	164.4208	0.2363636	147.2408	0.5714286	163.0725	0.4779221	162.1591	0.4987013	202.0371	0.01558442	152.1122	0.6012987	163.6495	0.3246753	230.69	0.009090909	168.8986	0.3545454	151.1577	0.4077922	160.9679	0.3818182	149.6915	0.4610389	188.0743	0.01428571	183.0493	0.04805195	150.3743	0.4012987	132.1225	0.4701299	143.391	0.4493507	165.2846	0.0987013	128.2991	0.6701299	158.0552	0.3103896	152.9771	0.274026	165.4384	0.2324675	155.2718	0.1584416
NEGATIVE	3520446	125.0186	0.9116883	139.1894	0.7	131.2243	0.8155844	132.4552	0.8857143	115.5475	0.9935065	137.1943	0.7142857	125.3092	0.9194805	138.9355	0.7779221	131.5167	0.887013	142.1041	0.8038961	130.0746	0.8	123.5836	0.9454545	113.0556	0.8805195	102.4124	0.9	102.3027	0.9610389	109.8975	0.8857143	110.8322	0.8	105.632	0.9194805	96.15407	0.9701298	125.0507	0.7077922	129.5117	0.7246753	110.4333	0.864935	118.7707	0.8571429	105.5897	0.9064935
